uso_cpu_percent,uso_ram_percent,uso_gpu_percent,uso_disco_percent,temperatura_c,status_crash
37.45,37.24,57.2,64.83,57.27,0
95.07,35.99,80.54,17.24,92.68,1
73.2,92.03,76.02,87.24,64.18,1
59.87,36.21,15.39,61.31,70.81,0
15.6,38.12,14.92,15.72,35.31,0
15.6,79.55,26.82,96.23,43.64,1
5.81,53.23,36.11,51.84,33.14,0
86.62,81.02,40.85,7.29,82.11,1
60.11,20.56,67.97,62.68,65.14,1
70.81,56.44,5.67,25.32,78.55,0
2.06,17.86,3.47,80.37,25.04,0
96.99,20.33,39.19,81.78,91.23,1
83.24,92.05,69.72,97.89,85.45,1
21.23,26.84,19.34,50.19,46.32,0
18.18,60.26,64.15,45.5,52.53,0
18.34,49.94,25.98,75.35,38.36,0
30.42,44.52,88.61,13.25,53.04,0
52.48,91.49,89.57,54.69,60.95,1
43.19,16.85,29.73,54.62,62.08,0
29.12,71.42,23.0,8.95,47.44,0
61.19,96.89,41.13,41.8,64.77,1
13.95,62.61,24.05,85.33,44.9,0
29.21,94.63,67.24,85.62,45.07,1
36.64,19.44,82.61,9.92,44.92,0
45.61,50.6,67.31,9.07,54.78,0
78.52,37.11,82.44,26.27,80.21,1
19.97,77.12,39.7,87.48,48.94,0
51.42,98.41,15.63,12.89,61.41,0
59.24,36.81,73.8,72.0,72.14,1
4.65,70.6,36.05,10.12,26.0,0
60.75,31.84,67.13,62.31,64.24,0
17.05,63.05,27.06,35.61,38.79,0
6.51,54.43,8.12,78.89,33.33,0
94.89,97.62,99.26,23.37,87.35,1
96.56,66.72,15.62,63.92,91.39,1
80.84,44.71,98.84,23.57,76.28,1
30.46,24.7,97.73,71.37,48.97,0
9.77,27.86,79.38,87.37,35.63,0
68.42,34.15,65.94,12.68,66.42,0
44.02,36.33,57.78,86.66,55.84,1
12.2,87.3,86.61,59.36,36.6,1
49.52,62.7,28.94,12.71,58.89,0
3.44,59.49,46.77,42.75,32.22,0
90.93,24.76,61.94,16.09,84.94,1
25.88,88.11,41.12,70.03,43.37,0
66.25,76.44,42.75,75.89,76.11,1
31.17,20.75,33.03,10.58,42.86,0
52.01,75.17,56.42,50.61,57.6,1
54.67,61.2,85.06,81.46,76.7,1
18.49,21.95,20.15,93.62,35.9,0
96.96,53.96,93.44,51.35,81.41,1
77.51,56.2,68.91,95.03,80.18,1
93.95,29.09,82.33,53.57,75.98,1
89.48,95.38,55.62,39.42,82.51,1
59.79,87.25,77.95,84.82,76.6,1
92.19,71.87,1.62,49.3,77.59,1
8.85,54.3,81.84,47.19,25.4,0
19.6,50.0,4.01,49.03,34.26,0
4.52,70.33,88.99,84.68,37.21,0
32.53,61.36,99.2,83.19,55.14,1
38.87,20.29,29.41,40.35,50.76,0
27.13,58.56,21.03,33.33,49.7,0
82.87,83.54,76.54,49.19,86.68,1
35.68,54.04,25.3,57.28,60.34,0
28.09,19.42,86.56,23.83,45.62,0
54.27,81.83,10.28,79.4,51.05,1
